(('168', '168', '168'), 1283)
(('3', '43', '3'), 29)
(('265', '265', '146'), 28)
(('265', '175', '142'), 27)
(('142', '265', '265'), 27)
(('168', '102', '168'), 27)
(('265', '3', '43'), 27)
(('265', '146', '142'), 27)
(('265', '146', '265'), 27)
(('3', '142', '265'), 27)
(('265', '146', '3'), 27)
(('265', '43', '43'), 26)
(('265', '102', '265'), 26)
(('175', '142', '3'), 25)
(('168', '102', '265'), 25)
(('146', '3', '142'), 25)
(('168', '3', '43'), 25)
(('3', '104', '3'), 24)
(('175', '142', '265'), 24)
(('265', '265', '102'), 24)
(('142', '265', '3'), 24)
(('265', '142', '146'), 23)
(('265', '146', '168'), 23)
(('192', '192', '192'), 22)
(('3', '3', '43'), 22)
(('3', '43', '265'), 22)
(('146', '142', '265'), 22)
(('3', '265', '146'), 22)
(('146', '3', '3'), 22)
(('142', '265', '146'), 21)
(('43', '3', '3'), 21)
(('3', '175', '142'), 21)
(('146', '265', '142'), 21)
(('146', '3', '265'), 21)
(('146', '142', '3'), 20)
(('142', '3', '175'), 20)
(('3', '175', '175'), 20)
(('102', '168', '265'), 20)
(('3', '146', '142'), 20)
(('3', '142', '146'), 20)
(('43', '43', '168'), 20)
(('146', '265', '3'), 19)
(('104', '3', '3'), 19)
(('146', '265', '265'), 19)
(('3', '3', '175'), 19)
(('265', '168', '102'), 18)
(('5', '197', '192'), 18)
(('3', '175', '3'), 18)
(('168', '265', '146'), 18)
(('142', '146', '265'), 18)
(('142', '3', '146'), 18)
(('142', '146', '3'), 18)
(('168', '146', '3'), 18)
(('43', '3', '43'), 17)
(('142', '3', '104'), 17)
(('142', '265', '175'), 17)
(('168', '43', '43'), 17)
(('43', '43', '3'), 17)
(('146', '168', '3'), 17)
(('142', '175', '175'), 17)
(('5', '5', '5'), 17)
(('43', '168', '43'), 16)
(('142', '104', '142'), 16)
(('3', '6', '91'), 16)
(('142', '146', '146'), 16)
(('3', '3', '104'), 16)
(('146', '265', '146'), 16)
(('3', '3', '146'), 16)
(('146', '168', '265'), 15)
(('43', '43', '265'), 15)
(('265', '3', '146'), 15)
(('104', '265', '3'), 15)
(('175', '265', '142'), 15)
(('175', '146', '142'), 15)
(('104', '142', '265'), 14)
(('3', '265', '104'), 14)
(('3', '146', '265'), 14)
(('142', '175', '265'), 14)
(('142', '104', '265'), 14)
(('265', '142', '175'), 14)
(('146', '142', '175'), 14)
(('175', '142', '175'), 14)
(('146', '142', '146'), 14)
(('102', '265', '265'), 14)
(('175', '142', '146'), 14)
(('78', '78', '265'), 14)
(('102', '102', '102'), 13)
(('3', '5', '3'), 13)
(('5', '3', '5'), 13)
(('3', '168', '146'), 13)
(('146', '146', '3'), 13)
(('265', '142', '119'), 13)
(('104', '3', '142'), 13)
(('265', '168', '146'), 13)
(('6', '3', '6'), 13)
(('142', '265', '104'), 13)
(('146', '146', '142'), 13)
(('104', '142', '3'), 13)
(('142', '175', '3'), 12)
(('43', '43', '43'), 12)
(('142', '146', '104'), 12)
(('3', '146', '3'), 12)
(('175', '3', '175'), 12)
(('3', '265', '175'), 12)
(('146', '146', '265'), 12)
(('119', '142', '142'), 12)
(('43', '265', '43'), 12)
(('3', '146', '146'), 12)
(('3', '78', '78'), 12)
(('265', '265', '78'), 12)
(('3', '146', '168'), 12)
(('142', '175', '146'), 12)
(('265', '3', '104'), 12)
(('265', '142', '104'), 12)
(('6', '91', '5'), 12)
(('146', '3', '146'), 12)
(('3', '142', '175'), 12)
(('142', '142', '104'), 12)
(('3', '3', '33'), 12)
(('265', '3', '175'), 12)
(('175', '142', '104'), 11)
(('195', '78', '78'), 11)
(('3', '146', '104'), 11)
(('3', '175', '265'), 11)
(('175', '175', '265'), 11)
(('265', '175', '175'), 11)
(('142', '175', '119'), 11)
(('104', '175', '142'), 11)
(('142', '119', '142'), 11)
(('104', '265', '142'), 11)
(('142', '104', '3'), 11)
(('3', '104', '142'), 11)
(('104', '3', '265'), 11)
(('146', '104', '265'), 11)
(('146', '142', '104'), 10)
(('265', '78', '78'), 10)
(('5', '3', '6'), 10)
(('146', '265', '168'), 10)
(('175', '175', '146'), 10)
(('265', '104', '3'), 10)
(('146', '3', '168'), 10)
(('78', '265', '265'), 10)
(('104', '142', '146'), 10)
(('78', '265', '78'), 10)
(('195', '5', '5'), 10)
(('265', '265', '175'), 10)
(('3', '5', '5'), 10)
(('3', '3', '78'), 10)
(('146', '104', '142'), 10)
(('6', '5', '5'), 10)
(('174', '174', '175'), 10)
(('5', '5', '3'), 10)
(('78', '3', '3'), 10)
(('104', '3', '146'), 9)
(('175', '3', '142'), 9)
(('3', '33', '3'), 9)
(('265', '104', '265'), 9)
(('142', '119', '146'), 9)
(('4', '3', '3'), 9)
(('104', '265', '146'), 9)
(('3', '104', '265'), 9)
(('5', '5', '195'), 9)
(('197', '192', '3'), 9)
(('197', '192', '6'), 9)
(('78', '78', '5'), 9)
(('265', '175', '146'), 9)
(('54', '54', '54'), 9)
(('33', '3', '3'), 9)
(('3', '195', '195'), 9)
(('102', '168', '102'), 9)
(('146', '146', '146'), 9)
(('5', '5', '6'), 9)
(('195', '195', '5'), 9)
(('5', '6', '5'), 9)
(('3', '3', '5'), 9)
(('175', '119', '142'), 9)
(('104', '104', '142'), 9)
(('5', '195', '195'), 9)
(('168', '146', '146'), 8)
(('146', '175', '142'), 8)
(('168', '146', '265'), 8)
(('119', '142', '265'), 8)
(('175', '6', '3'), 8)
(('3', '3', '195'), 8)
(('3', '43', '43'), 8)
(('168', '3', '78'), 8)
(('78', '78', '3'), 8)
(('122', '268', '45'), 8)
(('102', '102', '265'), 8)
(('102', '265', '102'), 8)
(('91', '5', '197'), 8)
(('195', '195', '3'), 8)
(('175', '146', '265'), 8)
(('146', '265', '175'), 8)
(('175', '3', '3'), 8)
(('142', '119', '3'), 8)
(('192', '3', '3'), 8)
(('104', '142', '142'), 8)
(('265', '146', '146'), 8)
(('168', '3', '146'), 8)
(('142', '142', '119'), 8)
(('125', '125', '91'), 8)
(('78', '195', '78'), 8)
(('175', '174', '174'), 8)
(('3', '265', '78'), 8)
(('3', '142', '104'), 8)
(('174', '174', '11'), 7)
(('174', '57', '175'), 7)
(('146', '168', '146'), 7)
(('174', '11', '45'), 7)
(('5', '3', '3'), 7)
(('175', '3', '265'), 7)
(('6', '192', '192'), 7)
(('3', '6', '174'), 7)
(('168', '168', '78'), 7)
(('146', '146', '168'), 7)
(('340', '168', '168'), 7)
(('265', '78', '3'), 7)
(('104', '146', '265'), 7)
(('175', '146', '175'), 7)
(('146', '3', '175'), 7)
(('11', '45', '33'), 7)
(('54', '175', '6'), 7)
(('3', '91', '5'), 7)
(('6', '174', '174'), 7)
(('175', '265', '3'), 7)
(('3', '5', '6'), 7)
(('45', '33', '192'), 7)
(('125', '91', '258'), 7)
(('168', '265', '340'), 7)
(('142', '104', '175'), 7)
(('195', '5', '6'), 7)
(('33', '5', '197'), 7)
(('174', '174', '57'), 7)
(('104', '104', '3'), 7)
(('192', '33', '5'), 7)
(('5', '6', '3'), 7)
(('240', '174', '174'), 7)
(('91', '258', '311'), 7)
(('5', '6', '195'), 7)
(('57', '175', '54'), 7)
(('174', '175', '191'), 7)
(('33', '192', '33'), 7)
(('258', '311', '240'), 7)
(('311', '240', '240'), 7)
(('243', '125', '125'), 7)
(('240', '240', '174'), 7)
(('192', '192', '243'), 7)
(('168', '340', '168'), 7)
(('175', '119', '265'), 7)
(('265', '104', '146'), 7)
(('192', '243', '125'), 7)
(('6', '5', '6'), 7)
(('91', '3', '3'), 7)
(('6', '3', '5'), 7)
(('175', '265', '175'), 7)
(('104', '146', '3'), 7)
(('192', '6', '192'), 7)
(('175', '54', '175'), 7)
(('265', '78', '168'), 6)
(('3', '33', '4'), 6)
(('78', '3', '168'), 6)
(('168', '265', '195'), 6)
(('340', '168', '3'), 6)
(('146', '175', '175'), 6)
(('3', '78', '3'), 6)
(('146', '265', '104'), 6)
(('175', '191', '122'), 6)
(('265', '78', '265'), 6)
(('146', '3', '104'), 6)
(('191', '122', '268'), 6)
(('265', '104', '142'), 6)
(('3', '119', '142'), 6)
(('265', '102', '102'), 6)
(('3', '104', '146'), 6)
(('104', '3', '104'), 6)
(('142', '119', '265'), 6)
(('265', '3', '78'), 6)
(('78', '168', '265'), 6)
(('104', '142', '175'), 6)
(('268', '45', '45'), 6)
(('3', '3', '6'), 6)
(('78', '265', '168'), 6)
(('265', '146', '175'), 6)
(('3', '142', '119'), 6)
(('146', '142', '119'), 6)
(('142', '3', '119'), 6)
(('142', '146', '175'), 6)
(('265', '168', '340'), 6)
(('265', '168', '78'), 6)
(('78', '78', '168'), 6)
(('78', '168', '3'), 6)
(('3', '3', '91'), 6)
(('146', '104', '3'), 6)
(('5', '3', '91'), 6)
(('6', '5', '3'), 6)
(('175', '3', '146'), 6)
(('5', '6', '6'), 6)
(('3', '168', '195'), 6)
(('3', '6', '6'), 5)
(('265', '175', '265'), 5)
(('265', '104', '104'), 5)
(('5', '197', '3'), 5)
(('265', '340', '168'), 5)
(('91', '5', '5'), 5)
(('168', '78', '265'), 5)
(('5', '91', '3'), 5)
(('3', '168', '78'), 5)
(('119', '142', '3'), 5)
(('104', '265', '175'), 5)
(('6', '6', '3'), 5)
(('13', '78', '78'), 5)
